z,n,a,name,BE_A_keV,BE_A_unc_keV,Mass_MeV
0,1,1,n,0.0,0.0,939.565421
1,0,1,H,0.0,0.0,938.272089
2,2,4,He,7073.9156,0.0002,3727.3793576000003
3,3,6,Li,5332.3312,0.0003,5601.518542799999
3,4,7,Li,5606.4401,0.0006,6533.8328703
4,5,9,Be,6462.6693,0.0085,8392.751437299998
5,5,10,B,6475.0835,0.0015,9324.436715
5,6,11,B,6927.7323,0.0011,10252.5479157
6,6,12,C,7680.1446,0.0002,11174.863324799999
6,7,13,C,7469.8495,0.0002,12109.482437499999
7,7,14,N,7475.6148,0.0002,13040.2039628
7,8,15,N,7699.4603,0.0002,13968.9360865
8,8,16,O,7976.2072,0.0002,14895.0807648
8,9,17,O,7750.7291,0.0002,15830.503106299999
8,10,18,O,7767.0981,0.0002,16762.0231562
9,10,19,F,7779.0192,0.0002,17692.3016462
11,12,23,Na,8111.4936,0.0002,21409.213678199998
13,14,27,Al,8331.5533,0.0018,25126.501111899997
14,14,28,Si,8447.7445,0.0002,26053.188294
14,15,29,Si,8448.6361,0.0002,26984.2801141
14,16,30,Si,8520.6549,0.0008,27913.236335
5,2,7,B,3558.7055,3.5929,6545.580348500001
5,3,8,B,4717.1551,0.125,7472.319467200001
5,4,9,B,6257.0713,0.1003,8393.3084873
6,4,10,C,6032.0426,0.007,9327.573792
7,4,11,N,5358.4023,0.4546,10267.2238817
7,5,12,N,6170.11,0.0833,11191.690408
7,6,13,N,7238.8634,0.0207,12111.191924800001
8,5,13,O,5811.7636,0.7328,12128.4508902
8,6,14,O,7052.2783,0.0018,13044.837341800001
8,7,15,O,7463.6915,0.0327,13971.179286499999
9,6,15,F,6497.4597,0.9333,13984.3794315
9,7,16,F,6964.049,0.3353,14909.981964
9,8,17,F,7542.3284,0.0146,15832.752586199998
9,9,18,F,7631.6383,0.0257,16763.1681006
10,7,17,Ne,6640.4991,0.0208,15846.7903523
10,8,18,Ne,7341.2577,0.0202,16767.1016194
10,9,19,Ne,7567.3431,0.0084,17695.0301601
10,10,20,Ne,8032.2412,0.0002,18617.730276000002
10,11,21,Ne,7971.7136,0.0018,19550.5345354
10,12,22,Ne,8080.4656,0.0008,20479.735698800003
11,9,20,Na,7298.5028,0.0554,18631.111711999998
11,11,22,Na,7915.6624,0.006,20482.0680372
13,11,24,Al,7649.5806,0.0095,22349.1668536
13,13,26,Al,8149.7653,0.0026,24199.9937322
14,17,31,Si,8458.2916,0.0014,28846.214363400002
15,15,30,P,8353.5064,0.0022,27916.957457999997
15,16,31,P,8481.1677,0.0002,28844.211872300002
16,15,31,S,8281.8013,0.0074,28849.0988987
16,16,32,S,8493.1301,0.0002,29773.6199968
16,17,33,S,8497.6304,0.0002,30704.5437778
16,18,34,S,8583.4986,0.0013,31632.6920496
