Reaction,In,Compound,Out,Excitation energy
α + Li-6 → B-9 + n,9328.898,9324.437,9332.874,0
α + Li-6 → B-9 + n,9328.898,9324.437,9332.874,1.600
α + Li-6 → B-9 + n,9328.898,9324.437,9332.874,2.361
α + Li-6 → B-9 + n,9328.898,9324.437,9332.874,2.788
α + Li-7 → B-10 + n,10261.212,10252.548,10264.002,0
α + Li-7 → B-10 + n,10261.212,10252.548,10264.002,0.718
α + Li-7 → B-10 + n,10261.212,10252.548,10264.002,1.740
α + Li-7 → B-10 + n,10261.212,10252.548,10264.002,2.154
α + Li-7 → B-10 + n,10261.212,10252.548,10264.002,3.587
α + Be-9 → C-12 + n,12120.131,12109.482,12114.429,0
α + Be-9 → C-12 + n,12120.131,12109.482,12114.429,4.439
α + Be-9 → C-12 + n,12120.131,12109.482,12114.429,7.654
α + B-10 → N-13 + n,13051.816,13040.204,13050.757,0
α + B-10 → N-13 + n,13051.816,13040.204,13050.757,2.365
α + B-10 → N-13 + n,13051.816,13040.204,13050.757,3.511
α + B-10 → N-13 + n,13051.816,13040.204,13050.757,3.547
α + B-10 → N-13 + n,13051.816,13040.204,13050.757,6.364
α + B-11 → N-14 + n,13979.927,13968.936,13979.769,0
α + B-11 → N-14 + n,13979.927,13968.936,13979.769,2.313
α + B-11 → N-14 + n,13979.927,13968.936,13979.769,3.948
α + B-11 → N-14 + n,13979.927,13968.936,13979.769,4.915
α + B-11 → N-14 + n,13979.927,13968.936,13979.769,5.106
α + C-12 → O-15 + n,14902.243,14895.081,14910.745,0
α + C-13 → O-16 + n,15836.862,15830.503,15834.646,0
α + C-13 → O-16 + n,15836.862,15830.503,15834.646,6.049
α + C-13 → O-16 + n,15836.862,15830.503,15834.646,6.130
α + C-13 → O-16 + n,15836.862,15830.503,15834.646,6.917
α + C-13 → O-16 + n,15836.862,15830.503,15834.646,7.117
α + N-14 → F-17 + n,16767.583,16763.168,16772.318,0
α + N-14 → F-17 + n,16767.583,16763.168,16772.318,0.495
α + N-14 → F-17 + n,16767.583,16763.168,16772.318,3.104
α + N-14 → F-17 + n,16767.583,16763.168,16772.318,3.857
α + N-14 → F-17 + n,16767.583,16763.168,16772.318,4.640
α + N-15 → F-18 + n,17696.315,17692.302,17702.734,0
α + N-15 → F-18 + n,17696.315,17692.302,17702.734,0.937
α + N-15 → F-18 + n,17696.315,17692.302,17702.734,1.042
α + N-15 → F-18 + n,17696.315,17692.302,17702.734,1.081
α + N-15 → F-18 + n,17696.315,17692.302,17702.734,1.121
α + O-17 → Ne-20 + n,19557.882,19550.535,19557.296,0
α + O-17 → Ne-20 + n,19557.882,19550.535,19557.296,1.634
α + O-17 → Ne-20 + n,19557.882,19550.535,19557.296,4.248
α + O-17 → Ne-20 + n,19557.882,19550.535,19557.296,4.968
α + O-18 → Ne-21 + n,20489.403,20479.736,20490.100,0
α + O-18 → Ne-21 + n,20489.403,20479.736,20490.100,0.351
α + O-18 → Ne-21 + n,20489.403,20479.736,20490.100,1.746
α + O-18 → Ne-21 + n,20489.403,20479.736,20490.100,2.789
α + O-18 → Ne-21 + n,20489.403,20479.736,20490.100,2.794
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,0
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,0.583
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,0.657
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,0.891
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,1.528
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,1.937
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,1.952
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,1.984
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,2.212
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,2.572
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,2.969
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,3.060
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,3.519
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,3.707
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,3.942
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.071
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.296
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.319
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.360
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.469
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.524
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.583
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.622
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.710
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,4.772
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,5.062
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,5.100
α + F-19 → Na-22 + n,21419.681,21409.214,21421.633,5.166
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,0
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,0.228
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,0.417
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,1.058
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,1.759
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,1.851
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.069
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.070
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.072
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.365
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.545
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.661
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.739
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,2.913
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.074
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.159
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.404
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.508
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.596
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.672
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.681
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.723
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.750
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.753
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.918
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.962
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,3.979
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,4.192
α + Na-23 → Al-26 + n,25136.593,25126.501,25139.559,4.205
